,date,value,name_B0925BSN92
0,2021-04-14,1936.0,Specialty Medical Pillows
1,2021-04-15,1936.0,Specialty Medical Pillows
2,2021-04-16,2109.0,Specialty Medical Pillows
3,2021-04-17,2109.0,Specialty Medical Pillows
4,2021-04-18,1850.0,Specialty Medical Pillows
5,2021-04-19,1593.0,Specialty Medical Pillows
6,2021-04-20,1639.0,Specialty Medical Pillows
7,2021-04-21,1470.0,Specialty Medical Pillows
8,2021-04-22,1470.0,Specialty Medical Pillows
9,2021-04-23,1133.0,Specialty Medical Pillows
10,2021-04-24,1133.0,Specialty Medical Pillows
11,2021-04-25,869.0,Specialty Medical Pillows
12,2021-04-26,1286.0,Specialty Medical Pillows
13,2021-04-27,1841.0,Specialty Medical Pillows
14,2021-04-28,1841.0,Specialty Medical Pillows
15,2021-04-29,2037.0,Specialty Medical Pillows
16,2021-04-30,2037.0,Specialty Medical Pillows
17,2021-05-01,2037.0,Specialty Medical Pillows
18,2021-05-02,1663.0,Specialty Medical Pillows
19,2021-05-03,1663.0,Specialty Medical Pillows
20,2021-05-04,2336.0,Specialty Medical Pillows
21,2021-05-05,2336.0,Specialty Medical Pillows
22,2021-05-06,2573.0,Specialty Medical Pillows
23,2021-05-07,3575.0,Specialty Medical Pillows
24,2021-05-08,3575.0,Specialty Medical Pillows
25,2021-05-09,3752.0,Specialty Medical Pillows
26,2021-05-10,3752.0,Specialty Medical Pillows
27,2021-05-11,3622.0,Specialty Medical Pillows
28,2021-05-12,4141.0,Specialty Medical Pillows
29,2021-05-13,3585.0,Specialty Medical Pillows
30,2021-05-14,3480.0,Specialty Medical Pillows
31,2021-05-15,3480.0,Specialty Medical Pillows
32,2021-05-16,5815.0,Specialty Medical Pillows
33,2021-05-17,4541.0,Specialty Medical Pillows
34,2021-05-18,5401.0,Specialty Medical Pillows
35,2021-05-19,5401.0,Specialty Medical Pillows
36,2021-05-20,5500.0,Specialty Medical Pillows
37,2021-05-21,5500.0,Specialty Medical Pillows
38,2021-05-22,5312.0,Specialty Medical Pillows
39,2021-05-23,4836.0,Specialty Medical Pillows
40,2021-05-24,5086.0,Specialty Medical Pillows
41,2021-05-25,5086.0,Specialty Medical Pillows
42,2021-05-26,4156.0,Specialty Medical Pillows
43,2021-05-27,4984.0,Specialty Medical Pillows
44,2021-05-28,4549.0,Specialty Medical Pillows
45,2021-05-29,4549.0,Specialty Medical Pillows
46,2021-05-30,4353.0,Specialty Medical Pillows
47,2021-05-31,5202.0,Specialty Medical Pillows
48,2021-06-01,4630.0,Specialty Medical Pillows
49,2021-06-02,4630.0,Specialty Medical Pillows
50,2021-06-03,4722.0,Specialty Medical Pillows
51,2021-06-04,4619.0,Specialty Medical Pillows
52,2021-06-05,4396.0,Specialty Medical Pillows
53,2021-06-06,4396.0,Specialty Medical Pillows
54,2021-06-07,5981.0,Specialty Medical Pillows
55,2021-06-08,6627.0,Specialty Medical Pillows
56,2021-06-09,5889.0,Specialty Medical Pillows
57,2021-06-10,6660.0,Specialty Medical Pillows
58,2021-06-11,6477.0,Specialty Medical Pillows
59,2021-06-12,7889.0,Specialty Medical Pillows
60,2021-06-13,7889.0,Specialty Medical Pillows
61,2021-06-14,7727.0,Specialty Medical Pillows
62,2021-06-15,7727.0,Specialty Medical Pillows
63,2021-06-16,5835.0,Specialty Medical Pillows
64,2021-06-17,5835.0,Specialty Medical Pillows
65,2021-06-18,7722.0,Specialty Medical Pillows
66,2021-06-19,8925.0,Specialty Medical Pillows
67,2021-06-20,10718.0,Specialty Medical Pillows
68,2021-06-21,7103.0,Specialty Medical Pillows
69,2021-06-22,9256.0,Specialty Medical Pillows
70,2021-06-23,9856.0,Specialty Medical Pillows
71,2021-06-24,9177.0,Specialty Medical Pillows
72,2021-06-25,9177.0,Specialty Medical Pillows
73,2021-06-26,6268.0,Specialty Medical Pillows
74,2021-06-27,6268.0,Specialty Medical Pillows
75,2021-06-28,8123.0,Specialty Medical Pillows
76,2021-06-29,7694.0,Specialty Medical Pillows
77,2021-06-30,10662.0,Specialty Medical Pillows
78,2021-07-01,10662.0,Specialty Medical Pillows
79,2021-07-02,8651.0,Specialty Medical Pillows
80,2021-07-03,6113.0,Specialty Medical Pillows
81,2021-07-04,4705.0,Specialty Medical Pillows
82,2021-07-05,5260.0,Specialty Medical Pillows
83,2021-07-06,5100.0,Specialty Medical Pillows
84,2021-07-07,5238.0,Specialty Medical Pillows
85,2021-07-08,5238.0,Specialty Medical Pillows
86,2021-07-09,7378.0,Specialty Medical Pillows
87,2021-07-10,5775.0,Specialty Medical Pillows
88,2021-07-11,5613.0,Specialty Medical Pillows
