,date,value,name_B092J63SB4
0,2021-04-19,5497.0,Beading Kits
1,2021-04-20,6472.0,Beading Kits
2,2021-04-21,5518.0,Beading Kits
3,2021-04-22,5518.0,Beading Kits
4,2021-04-23,5518.0,Beading Kits
5,2021-04-24,4740.0,Beading Kits
6,2021-04-25,4740.0,Beading Kits
7,2021-04-26,4596.0,Beading Kits
8,2021-04-27,4596.0,Beading Kits
9,2021-04-28,4809.0,Beading Kits
10,2021-04-29,4809.0,Beading Kits
11,2021-04-30,4809.0,Beading Kits
12,2021-05-01,4809.0,Beading Kits
13,2021-05-02,5449.0,Beading Kits
14,2021-05-03,5449.0,Beading Kits
15,2021-05-04,5996.0,Beading Kits
16,2021-05-05,5996.0,Beading Kits
17,2021-05-06,5996.0,Beading Kits
18,2021-05-07,4034.0,Beading Kits
19,2021-05-08,5028.0,Beading Kits
20,2021-05-09,5028.0,Beading Kits
21,2021-05-10,3777.0,Beading Kits
22,2021-05-11,3777.0,Beading Kits
23,2021-05-12,4399.0,Beading Kits
24,2021-05-13,4399.0,Beading Kits
25,2021-05-14,4846.0,Beading Kits
26,2021-05-15,4846.0,Beading Kits
27,2021-05-16,3761.0,Beading Kits
28,2021-05-17,2470.0,Beading Kits
29,2021-05-18,2963.0,Beading Kits
30,2021-05-19,2963.0,Beading Kits
31,2021-05-20,3295.0,Beading Kits
32,2021-05-21,3342.0,Beading Kits
33,2021-05-22,3342.0,Beading Kits
34,2021-05-23,2655.0,Beading Kits
35,2021-05-24,3508.0,Beading Kits
36,2021-05-25,3782.0,Beading Kits
37,2021-05-26,3782.0,Beading Kits
38,2021-05-27,2992.0,Beading Kits
39,2021-05-28,4528.0,Beading Kits
40,2021-05-29,4528.0,Beading Kits
41,2021-05-30,4528.0,Beading Kits
42,2021-05-31,2860.0,Beading Kits
43,2021-06-01,2860.0,Beading Kits
44,2021-06-02,2799.0,Beading Kits
45,2021-06-03,2799.0,Beading Kits
46,2021-06-04,2659.0,Beading Kits
47,2021-06-05,2659.0,Beading Kits
48,2021-06-06,2103.0,Beading Kits
49,2021-06-07,2103.0,Beading Kits
50,2021-06-08,2103.0,Beading Kits
51,2021-06-09,2103.0,Beading Kits
52,2021-06-10,3124.0,Beading Kits
53,2021-06-11,3124.0,Beading Kits
54,2021-06-12,3124.0,Beading Kits
55,2021-06-13,2008.0,Beading Kits
56,2021-06-14,2008.0,Beading Kits
57,2021-06-15,2008.0,Beading Kits
58,2021-06-16,2814.0,Beading Kits
59,2021-06-17,2814.0,Beading Kits
60,2021-06-18,2440.0,Beading Kits
61,2021-06-19,2440.0,Beading Kits
62,2021-06-20,2440.0,Beading Kits
63,2021-06-21,3192.0,Beading Kits
64,2021-06-22,2394.0,Beading Kits
65,2021-06-23,1602.0,Beading Kits
66,2021-06-24,1753.0,Beading Kits
67,2021-06-25,1753.0,Beading Kits
68,2021-06-26,1588.0,Beading Kits
69,2021-06-27,1588.0,Beading Kits
70,2021-06-28,1472.0,Beading Kits
71,2021-06-29,2462.0,Beading Kits
72,2021-06-30,2156.0,Beading Kits
73,2021-07-01,2666.0,Beading Kits
74,2021-07-02,4075.0,Beading Kits
75,2021-07-03,2786.0,Beading Kits
76,2021-07-04,3082.0,Beading Kits
77,2021-07-05,3104.0,Beading Kits
78,2021-07-06,3104.0,Beading Kits
79,2021-07-07,3715.0,Beading Kits
80,2021-07-08,3611.0,Beading Kits
81,2021-07-09,5669.0,Beading Kits
