,date,value,name_B092M3MLC3
0,2021-06-03,55573.0,Throw Pillow Covers
1,2021-06-04,55573.0,Throw Pillow Covers
2,2021-06-05,55573.0,Throw Pillow Covers
3,2021-06-06,24540.0,Throw Pillow Covers
4,2021-06-07,31901.0,Throw Pillow Covers
5,2021-06-08,30022.0,Throw Pillow Covers
6,2021-06-09,30022.0,Throw Pillow Covers
7,2021-06-10,18758.0,Throw Pillow Covers
8,2021-06-11,19458.0,Throw Pillow Covers
9,2021-06-12,26303.0,Throw Pillow Covers
10,2021-06-13,20336.0,Throw Pillow Covers
11,2021-06-14,17419.0,Throw Pillow Covers
12,2021-06-15,11782.0,Throw Pillow Covers
13,2021-06-16,13626.0,Throw Pillow Covers
14,2021-06-17,20622.0,Throw Pillow Covers
15,2021-06-18,15765.0,Throw Pillow Covers
16,2021-06-19,20843.0,Throw Pillow Covers
17,2021-06-20,15895.0,Throw Pillow Covers
18,2021-06-21,15202.0,Throw Pillow Covers
19,2021-06-22,23981.0,Throw Pillow Covers
20,2021-06-23,22039.0,Throw Pillow Covers
21,2021-06-24,15000.0,Throw Pillow Covers
22,2021-06-25,16415.0,Throw Pillow Covers
23,2021-06-26,16415.0,Throw Pillow Covers
24,2021-06-27,16667.0,Throw Pillow Covers
25,2021-06-28,17047.0,Throw Pillow Covers
26,2021-06-29,17047.0,Throw Pillow Covers
27,2021-06-30,16203.0,Throw Pillow Covers
28,2021-07-01,17102.0,Throw Pillow Covers
29,2021-07-02,17102.0,Throw Pillow Covers
30,2021-07-03,13214.0,Throw Pillow Covers
31,2021-07-04,13214.0,Throw Pillow Covers
32,2021-07-05,13214.0,Throw Pillow Covers
33,2021-07-06,19406.0,Throw Pillow Covers
34,2021-07-07,13669.0,Throw Pillow Covers
35,2021-07-08,13669.0,Throw Pillow Covers
36,2021-07-09,11556.0,Throw Pillow Covers
