,date,value,name_B092MQ2RZX
0,2021-04-17,22527.0,Closet Systems
1,2021-04-18,31020.0,Closet Systems
2,2021-04-19,38922.0,Closet Systems
3,2021-04-20,37214.0,Closet Systems
4,2021-04-21,37214.0,Closet Systems
5,2021-04-22,41477.0,Closet Systems
6,2021-04-23,45242.0,Closet Systems
7,2021-04-24,45242.0,Closet Systems
8,2021-04-25,20094.0,Closet Systems
9,2021-04-26,22924.0,Closet Systems
10,2021-04-27,22924.0,Closet Systems
11,2021-04-28,29128.0,Closet Systems
12,2021-04-29,29128.0,Closet Systems
13,2021-04-30,28910.0,Closet Systems
14,2021-05-01,27309.0,Closet Systems
15,2021-05-02,27309.0,Closet Systems
16,2021-05-03,39263.0,Closet Systems
17,2021-05-04,39263.0,Closet Systems
18,2021-05-05,39263.0,Closet Systems
19,2021-05-06,60229.0,Closet Systems
20,2021-05-07,67757.0,Closet Systems
21,2021-05-08,81269.0,Closet Systems
22,2021-05-09,81269.0,Closet Systems
23,2021-05-10,116859.0,Closet Systems
24,2021-05-11,116859.0,Closet Systems
25,2021-05-12,116664.0,Closet Systems
26,2021-05-13,55494.0,Closet Systems
27,2021-05-14,53681.0,Closet Systems
28,2021-05-15,53681.0,Closet Systems
29,2021-05-16,63858.0,Closet Systems
30,2021-05-17,63858.0,Closet Systems
31,2021-05-18,63858.0,Closet Systems
32,2021-05-19,133516.0,Closet Systems
33,2021-05-20,149068.0,Closet Systems
34,2021-05-21,149068.0,Closet Systems
35,2021-05-22,99181.0,Closet Systems
36,2021-05-23,99181.0,Closet Systems
37,2021-05-24,91269.0,Closet Systems
38,2021-05-25,79232.0,Closet Systems
39,2021-05-26,95038.0,Closet Systems
40,2021-05-27,95038.0,Closet Systems
41,2021-05-28,95038.0,Closet Systems
42,2021-05-29,111134.0,Closet Systems
43,2021-05-30,111134.0,Closet Systems
44,2021-05-31,109183.0,Closet Systems
45,2021-06-01,109183.0,Closet Systems
46,2021-06-02,71687.0,Closet Systems
47,2021-06-03,103283.0,Closet Systems
48,2021-06-04,70948.0,Closet Systems
49,2021-06-05,70948.0,Closet Systems
50,2021-06-06,70948.0,Closet Systems
51,2021-06-07,81019.0,Closet Systems
52,2021-06-08,81019.0,Closet Systems
53,2021-06-09,81019.0,Closet Systems
54,2021-06-10,98996.0,Closet Systems
55,2021-06-11,98996.0,Closet Systems
56,2021-06-12,98996.0,Closet Systems
57,2021-06-13,99383.0,Closet Systems
58,2021-06-14,103212.0,Closet Systems
59,2021-06-15,103212.0,Closet Systems
60,2021-06-16,135851.0,Closet Systems
61,2021-06-17,135851.0,Closet Systems
62,2021-06-18,135851.0,Closet Systems
63,2021-06-19,135851.0,Closet Systems
64,2021-06-20,70131.0,Closet Systems
65,2021-06-21,70131.0,Closet Systems
66,2021-06-22,21644.0,Closet Systems
67,2021-06-23,21644.0,Closet Systems
68,2021-06-24,21644.0,Closet Systems
69,2021-06-25,21644.0,Closet Systems
70,2021-06-26,21934.0,Closet Systems
71,2021-06-27,22317.0,Closet Systems
72,2021-06-28,19061.0,Closet Systems
73,2021-06-29,19736.0,Closet Systems
74,2021-06-30,19736.0,Closet Systems
75,2021-07-01,16069.0,Closet Systems
76,2021-07-02,18036.0,Closet Systems
77,2021-07-03,18036.0,Closet Systems
78,2021-07-04,11748.0,Closet Systems
79,2021-07-05,13649.0,Closet Systems
80,2021-07-06,14649.0,Closet Systems
81,2021-07-07,11269.0,Closet Systems
82,2021-07-08,15063.0,Closet Systems
83,2021-07-09,13692.0,Closet Systems
84,2021-07-10,11004.0,Closet Systems
