,date,value,name_B092T8KBXN
0,2021-04-23,5268.0,Beach Toys
1,2021-04-24,5268.0,Beach Toys
2,2021-04-25,5268.0,Beach Toys
3,2021-04-26,5268.0,Beach Toys
4,2021-04-27,5764.0,Beach Toys
5,2021-04-28,5764.0,Beach Toys
6,2021-04-29,5764.0,Beach Toys
7,2021-04-30,4298.0,Beach Toys
8,2021-05-01,4298.0,Beach Toys
9,2021-05-02,4298.0,Beach Toys
10,2021-05-03,4362.0,Beach Toys
11,2021-05-04,4362.0,Beach Toys
12,2021-05-05,5081.0,Beach Toys
13,2021-05-06,5081.0,Beach Toys
14,2021-05-07,4603.0,Beach Toys
15,2021-05-08,4603.0,Beach Toys
16,2021-05-09,4603.0,Beach Toys
17,2021-05-10,3820.0,Beach Toys
18,2021-05-11,3820.0,Beach Toys
19,2021-05-12,4776.0,Beach Toys
20,2021-05-13,4776.0,Beach Toys
21,2021-05-14,4776.0,Beach Toys
22,2021-05-15,5183.0,Beach Toys
23,2021-05-16,5183.0,Beach Toys
24,2021-05-17,5183.0,Beach Toys
25,2021-05-18,2596.0,Beach Toys
26,2021-05-19,2596.0,Beach Toys
27,2021-05-20,1789.0,Beach Toys
28,2021-05-21,2040.0,Beach Toys
29,2021-05-22,2040.0,Beach Toys
30,2021-05-23,1087.0,Beach Toys
31,2021-05-24,1087.0,Beach Toys
32,2021-05-25,1840.0,Beach Toys
33,2021-05-26,1840.0,Beach Toys
34,2021-05-27,1840.0,Beach Toys
35,2021-05-28,3029.0,Beach Toys
36,2021-05-29,3029.0,Beach Toys
37,2021-05-30,3029.0,Beach Toys
38,2021-05-31,4694.0,Beach Toys
39,2021-06-01,4694.0,Beach Toys
40,2021-06-02,4893.0,Beach Toys
41,2021-06-03,4893.0,Beach Toys
42,2021-06-04,6873.0,Beach Toys
43,2021-06-05,6873.0,Beach Toys
44,2021-06-06,6873.0,Beach Toys
45,2021-06-07,5998.0,Beach Toys
46,2021-06-08,5998.0,Beach Toys
47,2021-06-09,5998.0,Beach Toys
48,2021-06-10,6967.0,Beach Toys
49,2021-06-11,6459.0,Beach Toys
50,2021-06-12,6459.0,Beach Toys
51,2021-06-13,6459.0,Beach Toys
52,2021-06-14,7203.0,Beach Toys
53,2021-06-15,7203.0,Beach Toys
54,2021-06-16,3852.0,Beach Toys
55,2021-06-17,3852.0,Beach Toys
56,2021-06-18,3852.0,Beach Toys
57,2021-06-19,2303.0,Beach Toys
58,2021-06-20,2303.0,Beach Toys
59,2021-06-21,2758.0,Beach Toys
60,2021-06-22,5092.0,Beach Toys
61,2021-06-23,5092.0,Beach Toys
62,2021-06-24,4724.0,Beach Toys
63,2021-06-25,4621.0,Beach Toys
64,2021-06-26,4621.0,Beach Toys
65,2021-06-27,3964.0,Beach Toys
66,2021-06-28,3964.0,Beach Toys
67,2021-06-29,4341.0,Beach Toys
68,2021-06-30,4341.0,Beach Toys
69,2021-07-01,4813.0,Beach Toys
70,2021-07-02,4813.0,Beach Toys
71,2021-07-03,4813.0,Beach Toys
72,2021-07-04,4653.0,Beach Toys
73,2021-07-05,4653.0,Beach Toys
74,2021-07-06,4653.0,Beach Toys
75,2021-07-07,4770.0,Beach Toys
76,2021-07-08,4770.0,Beach Toys
77,2021-07-09,5560.0,Beach Toys
78,2021-07-10,5560.0,Beach Toys
79,2021-07-11,5386.0,Beach Toys
