,date,value,name_B092VBP22W
0,2021-04-29,94350.0,Repellents
1,2021-04-30,124502.0,Repellents
2,2021-05-01,65356.0,Repellents
3,2021-05-02,38367.0,Repellents
4,2021-05-03,48930.0,Repellents
5,2021-05-04,82095.0,Repellents
6,2021-05-05,99433.0,Repellents
7,2021-05-06,114558.0,Repellents
8,2021-05-07,103116.0,Repellents
9,2021-05-08,151431.0,Repellents
10,2021-05-09,151431.0,Repellents
11,2021-05-10,210138.0,Repellents
12,2021-05-11,132953.0,Repellents
13,2021-05-12,167297.0,Repellents
14,2021-05-13,130834.0,Repellents
15,2021-05-14,150993.0,Repellents
16,2021-05-15,176620.0,Repellents
17,2021-05-16,163505.0,Repellents
18,2021-05-17,203221.0,Repellents
19,2021-05-18,228723.0,Repellents
20,2021-05-19,228723.0,Repellents
21,2021-05-20,198800.0,Repellents
22,2021-05-21,210540.0,Repellents
23,2021-05-22,102063.0,Repellents
24,2021-05-23,29612.0,Repellents
25,2021-05-24,40646.0,Repellents
26,2021-05-25,36710.0,Repellents
27,2021-05-26,37727.0,Repellents
28,2021-05-27,19372.0,Repellents
29,2021-05-28,10851.0,Repellents
30,2021-05-29,9516.0,Repellents
31,2021-05-30,18186.0,Repellents
32,2021-05-31,21308.0,Repellents
33,2021-06-01,23243.0,Repellents
34,2021-06-02,46456.0,Repellents
35,2021-06-03,55219.0,Repellents
36,2021-06-04,24524.0,Repellents
37,2021-06-05,25166.0,Repellents
38,2021-06-06,21249.0,Repellents
39,2021-06-07,28389.0,Repellents
40,2021-06-08,19330.0,Repellents
41,2021-06-09,30919.0,Repellents
42,2021-06-10,25039.0,Repellents
43,2021-06-11,24606.0,Repellents
44,2021-06-12,26792.0,Repellents
45,2021-06-13,17350.0,Repellents
46,2021-06-14,14808.0,Repellents
47,2021-06-15,23874.0,Repellents
48,2021-06-16,24735.0,Repellents
49,2021-06-17,28957.0,Repellents
50,2021-06-18,34526.0,Repellents
51,2021-06-19,26637.0,Repellents
52,2021-06-20,25896.0,Repellents
53,2021-06-21,16588.0,Repellents
54,2021-06-22,20947.0,Repellents
55,2021-06-23,29014.0,Repellents
56,2021-06-24,28087.0,Repellents
57,2021-06-25,11922.0,Repellents
58,2021-06-26,12513.0,Repellents
59,2021-06-27,15349.0,Repellents
60,2021-06-28,24887.0,Repellents
61,2021-06-29,18052.0,Repellents
62,2021-06-30,20618.0,Repellents
63,2021-07-01,26168.0,Repellents
64,2021-07-02,19420.0,Repellents
65,2021-07-03,17655.0,Repellents
66,2021-07-04,17997.0,Repellents
67,2021-07-05,18680.0,Repellents
68,2021-07-06,19814.0,Repellents
69,2021-07-07,24085.0,Repellents
70,2021-07-08,24374.0,Repellents
71,2021-07-09,25717.0,Repellents
