,date,value,name_B09343CPX1
0,2021-04-26,5250.0,Dish Cloths & Dish Towels
1,2021-04-27,4681.0,Dish Cloths & Dish Towels
2,2021-04-28,6181.0,Dish Cloths & Dish Towels
3,2021-04-29,6280.0,Dish Cloths & Dish Towels
4,2021-04-30,6280.0,Dish Cloths & Dish Towels
5,2021-05-01,6207.0,Dish Cloths & Dish Towels
6,2021-05-02,6207.0,Dish Cloths & Dish Towels
7,2021-05-03,6809.0,Dish Cloths & Dish Towels
8,2021-05-04,6809.0,Dish Cloths & Dish Towels
9,2021-05-05,5723.0,Dish Cloths & Dish Towels
10,2021-05-06,5630.0,Dish Cloths & Dish Towels
11,2021-05-07,6390.0,Dish Cloths & Dish Towels
12,2021-05-08,6390.0,Dish Cloths & Dish Towels
13,2021-05-09,5892.0,Dish Cloths & Dish Towels
14,2021-05-10,7348.0,Dish Cloths & Dish Towels
15,2021-05-11,6171.0,Dish Cloths & Dish Towels
16,2021-05-12,6252.0,Dish Cloths & Dish Towels
17,2021-05-13,5844.0,Dish Cloths & Dish Towels
18,2021-05-14,6652.0,Dish Cloths & Dish Towels
19,2021-05-15,6652.0,Dish Cloths & Dish Towels
20,2021-05-16,6555.0,Dish Cloths & Dish Towels
21,2021-05-17,5881.0,Dish Cloths & Dish Towels
22,2021-05-18,5881.0,Dish Cloths & Dish Towels
23,2021-05-19,5012.0,Dish Cloths & Dish Towels
24,2021-05-20,4848.0,Dish Cloths & Dish Towels
25,2021-05-21,5115.0,Dish Cloths & Dish Towels
26,2021-05-22,5034.0,Dish Cloths & Dish Towels
27,2021-05-23,4732.0,Dish Cloths & Dish Towels
28,2021-05-24,5179.0,Dish Cloths & Dish Towels
29,2021-05-25,4951.0,Dish Cloths & Dish Towels
30,2021-05-26,5514.0,Dish Cloths & Dish Towels
31,2021-05-27,5639.0,Dish Cloths & Dish Towels
32,2021-05-28,5701.0,Dish Cloths & Dish Towels
33,2021-05-29,5701.0,Dish Cloths & Dish Towels
34,2021-05-30,5478.0,Dish Cloths & Dish Towels
35,2021-05-31,4855.0,Dish Cloths & Dish Towels
36,2021-06-01,4210.0,Dish Cloths & Dish Towels
37,2021-06-02,5247.0,Dish Cloths & Dish Towels
38,2021-06-03,6726.0,Dish Cloths & Dish Towels
39,2021-06-04,5878.0,Dish Cloths & Dish Towels
40,2021-06-05,4806.0,Dish Cloths & Dish Towels
41,2021-06-06,5157.0,Dish Cloths & Dish Towels
42,2021-06-07,4527.0,Dish Cloths & Dish Towels
43,2021-06-08,4527.0,Dish Cloths & Dish Towels
44,2021-06-09,3985.0,Dish Cloths & Dish Towels
45,2021-06-10,3985.0,Dish Cloths & Dish Towels
46,2021-06-11,3907.0,Dish Cloths & Dish Towels
47,2021-06-12,3907.0,Dish Cloths & Dish Towels
48,2021-06-13,3907.0,Dish Cloths & Dish Towels
49,2021-06-14,3907.0,Dish Cloths & Dish Towels
50,2021-06-15,3792.0,Dish Cloths & Dish Towels
51,2021-06-16,5027.0,Dish Cloths & Dish Towels
52,2021-06-17,3938.0,Dish Cloths & Dish Towels
53,2021-06-18,4851.0,Dish Cloths & Dish Towels
54,2021-06-19,5141.0,Dish Cloths & Dish Towels
55,2021-06-20,6119.0,Dish Cloths & Dish Towels
56,2021-06-21,5689.0,Dish Cloths & Dish Towels
57,2021-06-22,5699.0,Dish Cloths & Dish Towels
58,2021-06-23,6466.0,Dish Cloths & Dish Towels
59,2021-06-24,4865.0,Dish Cloths & Dish Towels
60,2021-06-25,5107.0,Dish Cloths & Dish Towels
61,2021-06-26,5107.0,Dish Cloths & Dish Towels
62,2021-06-27,5294.0,Dish Cloths & Dish Towels
63,2021-06-28,4682.0,Dish Cloths & Dish Towels
64,2021-06-29,5963.0,Dish Cloths & Dish Towels
65,2021-06-30,5135.0,Dish Cloths & Dish Towels
66,2021-07-01,5170.0,Dish Cloths & Dish Towels
67,2021-07-02,6799.0,Dish Cloths & Dish Towels
68,2021-07-03,6450.0,Dish Cloths & Dish Towels
69,2021-07-04,6450.0,Dish Cloths & Dish Towels
70,2021-07-05,6415.0,Dish Cloths & Dish Towels
71,2021-07-06,6046.0,Dish Cloths & Dish Towels
72,2021-07-07,6887.0,Dish Cloths & Dish Towels
73,2021-07-08,7885.0,Dish Cloths & Dish Towels
74,2021-07-09,6367.0,Dish Cloths & Dish Towels
