,date,value,name_B093BJZ89R
0,2021-04-26,16561.0,Freestanding Wine Racks & Cabinets
1,2021-04-27,15001.0,Freestanding Wine Racks & Cabinets
2,2021-04-28,15001.0,Freestanding Wine Racks & Cabinets
3,2021-04-29,15001.0,Freestanding Wine Racks & Cabinets
4,2021-04-30,13048.0,Freestanding Wine Racks & Cabinets
5,2021-05-01,14036.0,Freestanding Wine Racks & Cabinets
6,2021-05-02,14036.0,Freestanding Wine Racks & Cabinets
7,2021-05-03,16079.0,Freestanding Wine Racks & Cabinets
8,2021-05-04,16079.0,Freestanding Wine Racks & Cabinets
9,2021-05-05,16079.0,Freestanding Wine Racks & Cabinets
10,2021-05-06,25732.0,Freestanding Wine Racks & Cabinets
11,2021-05-07,26003.0,Freestanding Wine Racks & Cabinets
12,2021-05-08,26003.0,Freestanding Wine Racks & Cabinets
13,2021-05-09,13363.0,Freestanding Wine Racks & Cabinets
14,2021-05-10,22931.0,Freestanding Wine Racks & Cabinets
15,2021-05-11,22931.0,Freestanding Wine Racks & Cabinets
16,2021-05-12,14648.0,Freestanding Wine Racks & Cabinets
17,2021-05-13,20398.0,Freestanding Wine Racks & Cabinets
18,2021-05-14,20398.0,Freestanding Wine Racks & Cabinets
19,2021-05-15,20398.0,Freestanding Wine Racks & Cabinets
20,2021-05-16,21940.0,Freestanding Wine Racks & Cabinets
21,2021-05-17,12707.0,Freestanding Wine Racks & Cabinets
22,2021-05-18,12707.0,Freestanding Wine Racks & Cabinets
23,2021-05-19,15354.0,Freestanding Wine Racks & Cabinets
24,2021-05-20,11538.0,Freestanding Wine Racks & Cabinets
25,2021-05-21,18804.0,Freestanding Wine Racks & Cabinets
26,2021-05-22,18804.0,Freestanding Wine Racks & Cabinets
27,2021-05-23,7509.0,Freestanding Wine Racks & Cabinets
28,2021-05-24,10695.0,Freestanding Wine Racks & Cabinets
29,2021-05-25,10695.0,Freestanding Wine Racks & Cabinets
30,2021-05-26,10904.0,Freestanding Wine Racks & Cabinets
31,2021-05-27,11947.0,Freestanding Wine Racks & Cabinets
32,2021-05-28,15401.0,Freestanding Wine Racks & Cabinets
33,2021-05-29,15401.0,Freestanding Wine Racks & Cabinets
34,2021-05-30,14124.0,Freestanding Wine Racks & Cabinets
35,2021-05-31,13914.0,Freestanding Wine Racks & Cabinets
36,2021-06-01,10120.0,Freestanding Wine Racks & Cabinets
37,2021-06-02,10975.0,Freestanding Wine Racks & Cabinets
38,2021-06-03,16287.0,Freestanding Wine Racks & Cabinets
39,2021-06-04,18876.0,Freestanding Wine Racks & Cabinets
40,2021-06-05,19210.0,Freestanding Wine Racks & Cabinets
41,2021-06-06,16417.0,Freestanding Wine Racks & Cabinets
42,2021-06-07,16417.0,Freestanding Wine Racks & Cabinets
43,2021-06-08,21655.0,Freestanding Wine Racks & Cabinets
44,2021-06-09,21655.0,Freestanding Wine Racks & Cabinets
45,2021-06-10,12354.0,Freestanding Wine Racks & Cabinets
46,2021-06-11,12354.0,Freestanding Wine Racks & Cabinets
47,2021-06-12,11521.0,Freestanding Wine Racks & Cabinets
48,2021-06-13,11521.0,Freestanding Wine Racks & Cabinets
49,2021-06-14,11521.0,Freestanding Wine Racks & Cabinets
50,2021-06-15,11388.0,Freestanding Wine Racks & Cabinets
51,2021-06-16,11280.0,Freestanding Wine Racks & Cabinets
52,2021-06-17,11280.0,Freestanding Wine Racks & Cabinets
53,2021-06-18,11779.0,Freestanding Wine Racks & Cabinets
54,2021-06-19,9845.0,Freestanding Wine Racks & Cabinets
55,2021-06-20,10540.0,Freestanding Wine Racks & Cabinets
56,2021-06-21,10540.0,Freestanding Wine Racks & Cabinets
57,2021-06-22,2911.0,Freestanding Wine Racks & Cabinets
58,2021-06-23,2654.0,Freestanding Wine Racks & Cabinets
59,2021-06-24,2868.0,Freestanding Wine Racks & Cabinets
60,2021-06-25,3567.0,Freestanding Wine Racks & Cabinets
61,2021-06-26,5269.0,Freestanding Wine Racks & Cabinets
62,2021-06-27,5269.0,Freestanding Wine Racks & Cabinets
63,2021-06-28,6428.0,Freestanding Wine Racks & Cabinets
64,2021-06-29,6755.0,Freestanding Wine Racks & Cabinets
65,2021-06-30,6755.0,Freestanding Wine Racks & Cabinets
66,2021-07-01,9323.0,Freestanding Wine Racks & Cabinets
67,2021-07-02,9323.0,Freestanding Wine Racks & Cabinets
68,2021-07-03,6478.0,Freestanding Wine Racks & Cabinets
69,2021-07-04,5992.0,Freestanding Wine Racks & Cabinets
70,2021-07-05,7808.0,Freestanding Wine Racks & Cabinets
71,2021-07-06,7808.0,Freestanding Wine Racks & Cabinets
72,2021-07-07,6244.0,Freestanding Wine Racks & Cabinets
73,2021-07-08,6244.0,Freestanding Wine Racks & Cabinets
74,2021-07-09,5355.0,Freestanding Wine Racks & Cabinets
