,date,value,name_B093W4KFG4
0,2021-05-06,1340.0,Body Fat Monitors
1,2021-05-07,1340.0,Body Fat Monitors
2,2021-05-08,1238.0,Body Fat Monitors
3,2021-05-09,1238.0,Body Fat Monitors
4,2021-05-10,1592.0,Body Fat Monitors
5,2021-05-11,1592.0,Body Fat Monitors
6,2021-05-12,1592.0,Body Fat Monitors
7,2021-05-13,1667.0,Body Fat Monitors
8,2021-05-14,1667.0,Body Fat Monitors
9,2021-05-15,1668.0,Body Fat Monitors
10,2021-05-16,1668.0,Body Fat Monitors
11,2021-05-17,1092.0,Body Fat Monitors
12,2021-05-18,1778.0,Body Fat Monitors
13,2021-05-19,1743.0,Body Fat Monitors
14,2021-05-20,1653.0,Body Fat Monitors
15,2021-05-21,1464.0,Body Fat Monitors
16,2021-05-22,1464.0,Body Fat Monitors
17,2021-05-23,1713.0,Body Fat Monitors
18,2021-05-24,1798.0,Body Fat Monitors
19,2021-05-25,1913.0,Body Fat Monitors
20,2021-05-26,1913.0,Body Fat Monitors
21,2021-05-27,1002.0,Body Fat Monitors
22,2021-05-28,1002.0,Body Fat Monitors
23,2021-05-29,1222.0,Body Fat Monitors
24,2021-05-30,1222.0,Body Fat Monitors
25,2021-05-31,1348.0,Body Fat Monitors
26,2021-06-01,1348.0,Body Fat Monitors
27,2021-06-02,1132.0,Body Fat Monitors
28,2021-06-03,1276.0,Body Fat Monitors
29,2021-06-04,1276.0,Body Fat Monitors
30,2021-06-05,1276.0,Body Fat Monitors
31,2021-06-06,1341.0,Body Fat Monitors
32,2021-06-07,1341.0,Body Fat Monitors
33,2021-06-08,1276.0,Body Fat Monitors
34,2021-06-09,1276.0,Body Fat Monitors
35,2021-06-10,1215.0,Body Fat Monitors
36,2021-06-11,1215.0,Body Fat Monitors
37,2021-06-12,1120.0,Body Fat Monitors
38,2021-06-13,1120.0,Body Fat Monitors
39,2021-06-14,1488.0,Body Fat Monitors
40,2021-06-15,1488.0,Body Fat Monitors
41,2021-06-16,1488.0,Body Fat Monitors
42,2021-06-17,1474.0,Body Fat Monitors
43,2021-06-18,1474.0,Body Fat Monitors
44,2021-06-19,1305.0,Body Fat Monitors
45,2021-06-20,1305.0,Body Fat Monitors
46,2021-06-21,1861.0,Body Fat Monitors
47,2021-06-22,452.0,Body Fat Monitors
48,2021-06-23,452.0,Body Fat Monitors
49,2021-06-24,775.0,Body Fat Monitors
50,2021-06-25,840.0,Body Fat Monitors
51,2021-06-26,840.0,Body Fat Monitors
52,2021-06-27,1313.0,Body Fat Monitors
53,2021-06-28,1091.0,Body Fat Monitors
54,2021-06-29,1218.0,Body Fat Monitors
55,2021-06-30,1250.0,Body Fat Monitors
56,2021-07-01,1261.0,Body Fat Monitors
57,2021-07-02,1261.0,Body Fat Monitors
58,2021-07-03,1081.0,Body Fat Monitors
59,2021-07-04,1081.0,Body Fat Monitors
60,2021-07-05,1232.0,Body Fat Monitors
61,2021-07-06,1263.0,Body Fat Monitors
62,2021-07-07,1263.0,Body Fat Monitors
63,2021-07-08,1234.0,Body Fat Monitors
64,2021-07-09,1060.0,Body Fat Monitors
65,2021-07-10,1060.0,Body Fat Monitors
66,2021-07-11,1177.0,Body Fat Monitors
