,date,value,name_B093X6G1PG
0,2021-05-07,9514.0,Omega-3
1,2021-05-08,9514.0,Omega-3
2,2021-05-09,9601.0,Omega-3
3,2021-05-10,9316.0,Omega-3
4,2021-05-11,9316.0,Omega-3
5,2021-05-12,10272.0,Omega-3
6,2021-05-13,10272.0,Omega-3
7,2021-05-14,8507.0,Omega-3
8,2021-05-15,8507.0,Omega-3
9,2021-05-16,9700.0,Omega-3
10,2021-05-17,9700.0,Omega-3
11,2021-05-18,10168.0,Omega-3
12,2021-05-19,10168.0,Omega-3
13,2021-05-20,11193.0,Omega-3
14,2021-05-21,11193.0,Omega-3
15,2021-05-22,11193.0,Omega-3
16,2021-05-23,11204.0,Omega-3
17,2021-05-24,11204.0,Omega-3
18,2021-05-25,11204.0,Omega-3
19,2021-05-26,11578.0,Omega-3
20,2021-05-27,11578.0,Omega-3
21,2021-05-28,11578.0,Omega-3
22,2021-05-29,11231.0,Omega-3
23,2021-05-30,11231.0,Omega-3
24,2021-05-31,11231.0,Omega-3
25,2021-06-01,10739.0,Omega-3
26,2021-06-02,10739.0,Omega-3
27,2021-06-03,9487.0,Omega-3
28,2021-06-04,9487.0,Omega-3
29,2021-06-05,10471.0,Omega-3
30,2021-06-06,10471.0,Omega-3
31,2021-06-07,10471.0,Omega-3
32,2021-06-08,11241.0,Omega-3
33,2021-06-09,11241.0,Omega-3
34,2021-06-10,12147.0,Omega-3
35,2021-06-11,12147.0,Omega-3
36,2021-06-12,9208.0,Omega-3
37,2021-06-13,9208.0,Omega-3
38,2021-06-14,9208.0,Omega-3
39,2021-06-15,12080.0,Omega-3
40,2021-06-16,9628.0,Omega-3
41,2021-06-17,9628.0,Omega-3
42,2021-06-18,9628.0,Omega-3
43,2021-06-19,12280.0,Omega-3
44,2021-06-20,12280.0,Omega-3
45,2021-06-21,10627.0,Omega-3
46,2021-06-22,12748.0,Omega-3
47,2021-06-23,12748.0,Omega-3
48,2021-06-24,12748.0,Omega-3
49,2021-06-25,12748.0,Omega-3
50,2021-06-26,12748.0,Omega-3
51,2021-06-27,11431.0,Omega-3
52,2021-06-28,11431.0,Omega-3
53,2021-06-29,11431.0,Omega-3
54,2021-06-30,10741.0,Omega-3
55,2021-07-01,10741.0,Omega-3
56,2021-07-02,11633.0,Omega-3
57,2021-07-03,11633.0,Omega-3
58,2021-07-04,13117.0,Omega-3
59,2021-07-05,13117.0,Omega-3
60,2021-07-06,13117.0,Omega-3
61,2021-07-07,16364.0,Omega-3
62,2021-07-08,16364.0,Omega-3
63,2021-07-09,13730.0,Omega-3
64,2021-07-10,17499.0,Omega-3
