,date,value,name_B093ZCHJ18
0,2021-05-08,46364.0,Garden Hoses
1,2021-05-09,46364.0,Garden Hoses
2,2021-05-10,40836.0,Garden Hoses
3,2021-05-11,40836.0,Garden Hoses
4,2021-05-12,40836.0,Garden Hoses
5,2021-05-13,40836.0,Garden Hoses
6,2021-05-14,29693.0,Garden Hoses
7,2021-05-15,29693.0,Garden Hoses
8,2021-05-16,29693.0,Garden Hoses
9,2021-05-17,54903.0,Garden Hoses
10,2021-05-18,54903.0,Garden Hoses
11,2021-05-19,54903.0,Garden Hoses
12,2021-05-20,49322.0,Garden Hoses
13,2021-05-21,49322.0,Garden Hoses
14,2021-05-22,62568.0,Garden Hoses
15,2021-05-23,62568.0,Garden Hoses
16,2021-05-24,7654.0,Garden Hoses
17,2021-05-25,5056.0,Garden Hoses
18,2021-05-26,5056.0,Garden Hoses
19,2021-05-27,5243.0,Garden Hoses
20,2021-05-28,3797.0,Garden Hoses
21,2021-05-29,3589.0,Garden Hoses
22,2021-05-30,3018.0,Garden Hoses
23,2021-05-31,3018.0,Garden Hoses
24,2021-06-01,2070.0,Garden Hoses
25,2021-06-02,2070.0,Garden Hoses
26,2021-06-03,1566.0,Garden Hoses
27,2021-06-04,1873.0,Garden Hoses
28,2021-06-05,1873.0,Garden Hoses
29,2021-06-06,2179.0,Garden Hoses
30,2021-06-07,2425.0,Garden Hoses
31,2021-06-08,2240.0,Garden Hoses
32,2021-06-09,2240.0,Garden Hoses
33,2021-06-10,2410.0,Garden Hoses
34,2021-06-11,2862.0,Garden Hoses
35,2021-06-12,2209.0,Garden Hoses
36,2021-06-13,2209.0,Garden Hoses
37,2021-06-14,1816.0,Garden Hoses
38,2021-06-15,1816.0,Garden Hoses
39,2021-06-16,1761.0,Garden Hoses
40,2021-06-17,1922.0,Garden Hoses
41,2021-06-18,1634.0,Garden Hoses
42,2021-06-19,1594.0,Garden Hoses
43,2021-06-20,1157.0,Garden Hoses
44,2021-06-21,1128.0,Garden Hoses
45,2021-06-22,1725.0,Garden Hoses
46,2021-06-23,1765.0,Garden Hoses
47,2021-06-24,1223.0,Garden Hoses
48,2021-06-25,1223.0,Garden Hoses
49,2021-06-26,1040.0,Garden Hoses
50,2021-06-27,839.0,Garden Hoses
51,2021-06-28,681.0,Garden Hoses
52,2021-06-29,681.0,Garden Hoses
53,2021-06-30,881.0,Garden Hoses
54,2021-07-01,896.0,Garden Hoses
55,2021-07-02,968.0,Garden Hoses
56,2021-07-03,968.0,Garden Hoses
57,2021-07-04,756.0,Garden Hoses
58,2021-07-05,756.0,Garden Hoses
59,2021-07-06,761.0,Garden Hoses
60,2021-07-07,761.0,Garden Hoses
61,2021-07-08,730.0,Garden Hoses
62,2021-07-09,720.0,Garden Hoses
63,2021-07-10,1001.0,Garden Hoses
