,date,value,name_B0946JWPJ2
0,2021-05-07,11455.0,Label Holders
1,2021-05-08,14954.0,Label Holders
2,2021-05-09,14954.0,Label Holders
3,2021-05-10,11388.0,Label Holders
4,2021-05-11,8446.0,Label Holders
5,2021-05-12,8446.0,Label Holders
6,2021-05-13,12668.0,Label Holders
7,2021-05-14,12668.0,Label Holders
8,2021-05-15,10898.0,Label Holders
9,2021-05-16,10898.0,Label Holders
10,2021-05-17,8618.0,Label Holders
11,2021-05-18,8618.0,Label Holders
12,2021-05-19,8618.0,Label Holders
13,2021-05-20,9020.0,Label Holders
14,2021-05-21,8662.0,Label Holders
15,2021-05-22,8757.0,Label Holders
16,2021-05-23,8757.0,Label Holders
17,2021-05-24,8757.0,Label Holders
18,2021-05-25,6659.0,Label Holders
19,2021-05-26,9796.0,Label Holders
20,2021-05-27,6297.0,Label Holders
21,2021-05-28,6297.0,Label Holders
22,2021-05-29,11399.0,Label Holders
23,2021-05-30,11399.0,Label Holders
24,2021-05-31,11399.0,Label Holders
25,2021-06-01,5810.0,Label Holders
26,2021-06-02,7545.0,Label Holders
27,2021-06-03,7545.0,Label Holders
28,2021-06-04,7545.0,Label Holders
29,2021-06-05,7545.0,Label Holders
30,2021-06-06,7545.0,Label Holders
31,2021-06-07,7337.0,Label Holders
32,2021-06-08,7337.0,Label Holders
33,2021-06-09,7337.0,Label Holders
34,2021-06-10,12222.0,Label Holders
35,2021-06-11,12222.0,Label Holders
36,2021-06-12,12222.0,Label Holders
37,2021-06-13,12222.0,Label Holders
38,2021-06-14,7048.0,Label Holders
39,2021-06-15,7048.0,Label Holders
40,2021-06-16,7048.0,Label Holders
41,2021-06-17,6553.0,Label Holders
42,2021-06-18,6266.0,Label Holders
43,2021-06-19,5662.0,Label Holders
44,2021-06-20,5216.0,Label Holders
45,2021-06-21,5216.0,Label Holders
46,2021-06-22,8933.0,Label Holders
47,2021-06-23,10479.0,Label Holders
48,2021-06-24,10479.0,Label Holders
49,2021-06-25,10479.0,Label Holders
50,2021-06-26,6333.0,Label Holders
51,2021-06-27,6333.0,Label Holders
52,2021-06-28,5301.0,Label Holders
53,2021-06-29,7811.0,Label Holders
54,2021-06-30,7615.0,Label Holders
55,2021-07-01,7615.0,Label Holders
56,2021-07-02,7615.0,Label Holders
57,2021-07-03,7615.0,Label Holders
58,2021-07-04,7615.0,Label Holders
59,2021-07-05,7750.0,Label Holders
60,2021-07-06,7750.0,Label Holders
61,2021-07-07,9919.0,Label Holders
62,2021-07-08,9919.0,Label Holders
63,2021-07-09,12357.0,Label Holders
