,date,value,name_B094FB2W21
0,2021-06-02,142600,Fidget Blocks
1,2021-06-03,55180,Fidget Blocks
2,2021-06-04,149885,Fidget Blocks
3,2021-06-05,23437,Fidget Blocks
4,2021-06-06,19690,Fidget Blocks
5,2021-06-07,27175,Fidget Blocks
6,2021-06-08,23483,Fidget Blocks
7,2021-06-09,29829,Fidget Blocks
8,2021-06-10,26483,Fidget Blocks
9,2021-06-11,31609,Fidget Blocks
10,2021-06-12,25935,Fidget Blocks
11,2021-06-13,38189,Fidget Blocks
12,2021-06-14,32206,Fidget Blocks
13,2021-06-15,31320,Fidget Blocks
14,2021-06-16,14792,Fidget Blocks
15,2021-06-17,32536,Fidget Blocks
16,2021-06-18,32279,Fidget Blocks
17,2021-06-19,24166,Fidget Blocks
18,2021-06-20,14198,Fidget Blocks
19,2021-06-21,15997,Fidget Blocks
20,2021-06-22,10870,Fidget Blocks
21,2021-06-23,8889,Fidget Blocks
22,2021-06-24,8860,Fidget Blocks
23,2021-06-25,10361,Fidget Blocks
24,2021-06-26,11089,Fidget Blocks
25,2021-06-27,11328,Fidget Blocks
26,2021-06-28,15750,Fidget Blocks
27,2021-06-29,10973,Fidget Blocks
28,2021-06-30,13342,Fidget Blocks
29,2021-07-01,10457,Fidget Blocks
30,2021-07-02,10708,Fidget Blocks
31,2021-07-03,9735,Fidget Blocks
32,2021-07-04,12251,Fidget Blocks
33,2021-07-05,13009,Fidget Blocks
34,2021-07-06,12163,Fidget Blocks
35,2021-07-07,13064,Fidget Blocks
36,2021-07-08,13005,Fidget Blocks
37,2021-07-09,12587,Fidget Blocks
