,date,value,name_B094NRYPSS
0,2021-05-17,17179.0,Transfer Switches
1,2021-05-18,17179.0,Transfer Switches
2,2021-05-19,17179.0,Transfer Switches
3,2021-05-20,13512.0,Transfer Switches
4,2021-05-21,13512.0,Transfer Switches
5,2021-05-22,15475.0,Transfer Switches
6,2021-05-23,15475.0,Transfer Switches
7,2021-05-24,15422.0,Transfer Switches
8,2021-05-25,15422.0,Transfer Switches
9,2021-05-26,13482.0,Transfer Switches
10,2021-05-27,13482.0,Transfer Switches
11,2021-05-28,10729.0,Transfer Switches
12,2021-05-29,16444.0,Transfer Switches
13,2021-05-30,16584.0,Transfer Switches
14,2021-05-31,16584.0,Transfer Switches
15,2021-06-01,16584.0,Transfer Switches
16,2021-06-02,10653.0,Transfer Switches
17,2021-06-03,10653.0,Transfer Switches
18,2021-06-04,8483.0,Transfer Switches
19,2021-06-05,8483.0,Transfer Switches
20,2021-06-06,8483.0,Transfer Switches
21,2021-06-07,10275.0,Transfer Switches
22,2021-06-08,10275.0,Transfer Switches
23,2021-06-09,9246.0,Transfer Switches
24,2021-06-10,9630.0,Transfer Switches
25,2021-06-11,9630.0,Transfer Switches
26,2021-06-12,9942.0,Transfer Switches
27,2021-06-13,9942.0,Transfer Switches
28,2021-06-14,14630.0,Transfer Switches
29,2021-06-15,8562.0,Transfer Switches
30,2021-06-16,7926.0,Transfer Switches
31,2021-06-17,6503.0,Transfer Switches
32,2021-06-18,8168.0,Transfer Switches
33,2021-06-19,9398.0,Transfer Switches
34,2021-06-20,9398.0,Transfer Switches
35,2021-06-21,17736.0,Transfer Switches
36,2021-06-22,13952.0,Transfer Switches
37,2021-06-23,14031.0,Transfer Switches
38,2021-06-24,14031.0,Transfer Switches
39,2021-06-25,9061.0,Transfer Switches
40,2021-06-26,9061.0,Transfer Switches
41,2021-06-27,13113.0,Transfer Switches
42,2021-06-28,17502.0,Transfer Switches
43,2021-06-29,13274.0,Transfer Switches
44,2021-06-30,16127.0,Transfer Switches
45,2021-07-01,11904.0,Transfer Switches
46,2021-07-02,11591.0,Transfer Switches
47,2021-07-03,10060.0,Transfer Switches
48,2021-07-04,10060.0,Transfer Switches
49,2021-07-05,11319.0,Transfer Switches
50,2021-07-06,11319.0,Transfer Switches
51,2021-07-07,11319.0,Transfer Switches
52,2021-07-08,7566.0,Transfer Switches
53,2021-07-09,12295.0,Transfer Switches
