,date,value,name_B094QRWXLJ
0,2021-05-20,31045.0,Grill Covers
1,2021-05-21,40894.0,Grill Covers
2,2021-05-22,40894.0,Grill Covers
3,2021-05-23,40894.0,Grill Covers
4,2021-05-24,29271.0,Grill Covers
5,2021-05-25,22730.0,Grill Covers
6,2021-05-26,20858.0,Grill Covers
7,2021-05-27,20858.0,Grill Covers
8,2021-05-28,28141.0,Grill Covers
9,2021-05-29,28141.0,Grill Covers
10,2021-05-30,28141.0,Grill Covers
11,2021-05-31,10895.0,Grill Covers
12,2021-06-01,10895.0,Grill Covers
13,2021-06-02,9226.0,Grill Covers
14,2021-06-03,9226.0,Grill Covers
15,2021-06-04,16258.0,Grill Covers
16,2021-06-05,16258.0,Grill Covers
17,2021-06-06,16258.0,Grill Covers
18,2021-06-07,7387.0,Grill Covers
19,2021-06-08,12009.0,Grill Covers
20,2021-06-09,13041.0,Grill Covers
21,2021-06-10,12182.0,Grill Covers
22,2021-06-11,9983.0,Grill Covers
23,2021-06-12,9983.0,Grill Covers
24,2021-06-13,9983.0,Grill Covers
25,2021-06-14,6632.0,Grill Covers
26,2021-06-15,5920.0,Grill Covers
27,2021-06-16,6138.0,Grill Covers
28,2021-06-17,7389.0,Grill Covers
29,2021-06-18,8547.0,Grill Covers
30,2021-06-19,8547.0,Grill Covers
31,2021-06-20,7277.0,Grill Covers
32,2021-06-21,7788.0,Grill Covers
33,2021-06-22,8083.0,Grill Covers
34,2021-06-23,10060.0,Grill Covers
35,2021-06-24,14911.0,Grill Covers
36,2021-06-25,8557.0,Grill Covers
37,2021-06-26,7029.0,Grill Covers
38,2021-06-27,5606.0,Grill Covers
39,2021-06-28,6505.0,Grill Covers
40,2021-06-29,8585.0,Grill Covers
41,2021-06-30,8585.0,Grill Covers
42,2021-07-01,8585.0,Grill Covers
43,2021-07-02,5943.0,Grill Covers
44,2021-07-03,5943.0,Grill Covers
45,2021-07-04,5943.0,Grill Covers
46,2021-07-05,4801.0,Grill Covers
47,2021-07-06,6926.0,Grill Covers
48,2021-07-07,6837.0,Grill Covers
49,2021-07-08,6837.0,Grill Covers
50,2021-07-09,7668.0,Grill Covers
