,date,value,name_B094RHYVLJ
0,2021-05-17,37226.0,Bathroom Accessory Sets
1,2021-05-18,37226.0,Bathroom Accessory Sets
2,2021-05-19,39666.0,Bathroom Accessory Sets
3,2021-05-20,35497.0,Bathroom Accessory Sets
4,2021-05-21,42502.0,Bathroom Accessory Sets
5,2021-05-22,36227.0,Bathroom Accessory Sets
6,2021-05-23,36227.0,Bathroom Accessory Sets
7,2021-05-24,30289.0,Bathroom Accessory Sets
8,2021-05-25,30289.0,Bathroom Accessory Sets
9,2021-05-26,30289.0,Bathroom Accessory Sets
10,2021-05-27,24580.0,Bathroom Accessory Sets
11,2021-05-28,23631.0,Bathroom Accessory Sets
12,2021-05-29,28366.0,Bathroom Accessory Sets
13,2021-05-30,30817.0,Bathroom Accessory Sets
14,2021-05-31,27894.0,Bathroom Accessory Sets
15,2021-06-01,21009.0,Bathroom Accessory Sets
16,2021-06-02,27038.0,Bathroom Accessory Sets
17,2021-06-03,27038.0,Bathroom Accessory Sets
18,2021-06-04,21178.0,Bathroom Accessory Sets
19,2021-06-05,28362.0,Bathroom Accessory Sets
20,2021-06-06,27708.0,Bathroom Accessory Sets
21,2021-06-07,24512.0,Bathroom Accessory Sets
22,2021-06-08,24512.0,Bathroom Accessory Sets
23,2021-06-09,25689.0,Bathroom Accessory Sets
24,2021-06-10,29329.0,Bathroom Accessory Sets
25,2021-06-11,23251.0,Bathroom Accessory Sets
26,2021-06-12,25367.0,Bathroom Accessory Sets
27,2021-06-13,25367.0,Bathroom Accessory Sets
28,2021-06-14,25486.0,Bathroom Accessory Sets
29,2021-06-15,27389.0,Bathroom Accessory Sets
30,2021-06-16,29387.0,Bathroom Accessory Sets
31,2021-06-17,37882.0,Bathroom Accessory Sets
32,2021-06-18,28805.0,Bathroom Accessory Sets
33,2021-06-19,22843.0,Bathroom Accessory Sets
34,2021-06-20,22843.0,Bathroom Accessory Sets
35,2021-06-21,26399.0,Bathroom Accessory Sets
36,2021-06-22,19241.0,Bathroom Accessory Sets
37,2021-06-23,14618.0,Bathroom Accessory Sets
38,2021-06-24,11358.0,Bathroom Accessory Sets
39,2021-06-25,14675.0,Bathroom Accessory Sets
40,2021-06-26,13587.0,Bathroom Accessory Sets
41,2021-06-27,17473.0,Bathroom Accessory Sets
42,2021-06-28,17473.0,Bathroom Accessory Sets
43,2021-06-29,24540.0,Bathroom Accessory Sets
44,2021-06-30,24540.0,Bathroom Accessory Sets
45,2021-07-01,17951.0,Bathroom Accessory Sets
46,2021-07-02,15073.0,Bathroom Accessory Sets
47,2021-07-03,15073.0,Bathroom Accessory Sets
48,2021-07-04,15073.0,Bathroom Accessory Sets
49,2021-07-05,17334.0,Bathroom Accessory Sets
50,2021-07-06,21484.0,Bathroom Accessory Sets
51,2021-07-07,21484.0,Bathroom Accessory Sets
52,2021-07-08,21484.0,Bathroom Accessory Sets
53,2021-07-09,17673.0,Bathroom Accessory Sets
54,2021-07-10,16534.0,Bathroom Accessory Sets
