,date,value,name_B094V2V8JS
0,2021-05-16,3370.0,Beads & Bead Assortments
1,2021-05-17,4528.0,Beads & Bead Assortments
2,2021-05-18,4528.0,Beads & Bead Assortments
3,2021-05-19,3640.0,Beads & Bead Assortments
4,2021-05-20,4123.0,Beads & Bead Assortments
5,2021-05-21,3664.0,Beads & Bead Assortments
6,2021-05-22,2755.0,Beads & Bead Assortments
7,2021-05-23,4614.0,Beads & Bead Assortments
8,2021-05-24,3416.0,Beads & Bead Assortments
9,2021-05-25,4735.0,Beads & Bead Assortments
10,2021-05-26,4215.0,Beads & Bead Assortments
11,2021-05-27,3719.0,Beads & Bead Assortments
12,2021-05-28,5443.0,Beads & Bead Assortments
13,2021-05-29,4759.0,Beads & Bead Assortments
14,2021-05-30,3604.0,Beads & Bead Assortments
15,2021-05-31,6015.0,Beads & Bead Assortments
16,2021-06-01,6015.0,Beads & Bead Assortments
17,2021-06-02,6147.0,Beads & Bead Assortments
18,2021-06-03,5866.0,Beads & Bead Assortments
19,2021-06-04,4245.0,Beads & Bead Assortments
20,2021-06-05,4378.0,Beads & Bead Assortments
21,2021-06-06,4378.0,Beads & Bead Assortments
22,2021-06-07,4618.0,Beads & Bead Assortments
23,2021-06-08,4618.0,Beads & Bead Assortments
24,2021-06-09,3559.0,Beads & Bead Assortments
25,2021-06-10,5678.0,Beads & Bead Assortments
26,2021-06-11,2469.0,Beads & Bead Assortments
27,2021-06-12,2701.0,Beads & Bead Assortments
28,2021-06-13,2701.0,Beads & Bead Assortments
29,2021-06-14,2782.0,Beads & Bead Assortments
30,2021-06-15,3262.0,Beads & Bead Assortments
31,2021-06-16,2731.0,Beads & Bead Assortments
32,2021-06-17,3147.0,Beads & Bead Assortments
33,2021-06-18,3147.0,Beads & Bead Assortments
34,2021-06-19,3546.0,Beads & Bead Assortments
35,2021-06-20,3546.0,Beads & Bead Assortments
36,2021-06-21,3977.0,Beads & Bead Assortments
37,2021-06-22,5053.0,Beads & Bead Assortments
38,2021-06-23,3022.0,Beads & Bead Assortments
39,2021-06-24,4442.0,Beads & Bead Assortments
40,2021-06-25,4442.0,Beads & Bead Assortments
41,2021-06-26,5899.0,Beads & Bead Assortments
42,2021-06-27,5899.0,Beads & Bead Assortments
43,2021-06-28,211438.0,Beads & Bead Assortments
44,2021-06-29,235647.0,Beads & Bead Assortments
45,2021-06-30,253714.0,Beads & Bead Assortments
46,2021-07-01,253714.0,Beads & Bead Assortments
47,2021-07-02,286282.0,Beads & Bead Assortments
48,2021-07-03,286282.0,Beads & Bead Assortments
49,2021-07-04,301863.0,Beads & Bead Assortments
50,2021-07-05,308062.0,Beads & Bead Assortments
51,2021-07-06,317749.0,Beads & Bead Assortments
52,2021-07-07,317749.0,Beads & Bead Assortments
53,2021-07-08,51616.0,Beads & Bead Assortments
54,2021-07-09,119147.0,Beads & Bead Assortments
55,2021-07-10,49231.0,Beads & Bead Assortments
