,date,value,name_B094VSSWCM
0,2021-05-18,6004.0,Sheet & Pillowcase Sets
1,2021-05-19,6501.0,Sheet & Pillowcase Sets
2,2021-05-20,6501.0,Sheet & Pillowcase Sets
3,2021-05-21,6501.0,Sheet & Pillowcase Sets
4,2021-05-22,6501.0,Sheet & Pillowcase Sets
5,2021-05-23,6501.0,Sheet & Pillowcase Sets
6,2021-05-24,6501.0,Sheet & Pillowcase Sets
7,2021-05-25,6501.0,Sheet & Pillowcase Sets
8,2021-05-26,6501.0,Sheet & Pillowcase Sets
9,2021-05-27,6501.0,Sheet & Pillowcase Sets
10,2021-05-28,70093.0,Sheet & Pillowcase Sets
11,2021-05-29,70093.0,Sheet & Pillowcase Sets
12,2021-05-30,70093.0,Sheet & Pillowcase Sets
13,2021-05-31,70093.0,Sheet & Pillowcase Sets
14,2021-06-01,70093.0,Sheet & Pillowcase Sets
15,2021-06-02,59505.0,Sheet & Pillowcase Sets
16,2021-06-03,59505.0,Sheet & Pillowcase Sets
17,2021-06-04,59505.0,Sheet & Pillowcase Sets
18,2021-06-05,7386.0,Sheet & Pillowcase Sets
19,2021-06-06,7925.0,Sheet & Pillowcase Sets
20,2021-06-07,6293.0,Sheet & Pillowcase Sets
21,2021-06-08,78652.0,Sheet & Pillowcase Sets
22,2021-06-09,78652.0,Sheet & Pillowcase Sets
23,2021-06-10,4289.0,Sheet & Pillowcase Sets
24,2021-06-11,4546.0,Sheet & Pillowcase Sets
25,2021-06-12,4160.0,Sheet & Pillowcase Sets
26,2021-06-13,4160.0,Sheet & Pillowcase Sets
27,2021-06-14,5172.0,Sheet & Pillowcase Sets
28,2021-06-15,5784.0,Sheet & Pillowcase Sets
29,2021-06-16,5784.0,Sheet & Pillowcase Sets
30,2021-06-17,5802.0,Sheet & Pillowcase Sets
31,2021-06-18,9427.0,Sheet & Pillowcase Sets
32,2021-06-19,7916.0,Sheet & Pillowcase Sets
33,2021-06-20,8563.0,Sheet & Pillowcase Sets
34,2021-06-21,7975.0,Sheet & Pillowcase Sets
35,2021-06-22,7498.0,Sheet & Pillowcase Sets
36,2021-06-23,7275.0,Sheet & Pillowcase Sets
37,2021-06-24,7275.0,Sheet & Pillowcase Sets
38,2021-06-25,27558.0,Sheet & Pillowcase Sets
39,2021-06-26,27558.0,Sheet & Pillowcase Sets
40,2021-06-27,27558.0,Sheet & Pillowcase Sets
41,2021-06-28,26430.0,Sheet & Pillowcase Sets
42,2021-06-29,24539.0,Sheet & Pillowcase Sets
43,2021-06-30,24539.0,Sheet & Pillowcase Sets
44,2021-07-01,27475.0,Sheet & Pillowcase Sets
45,2021-07-02,31721.0,Sheet & Pillowcase Sets
46,2021-07-03,31721.0,Sheet & Pillowcase Sets
47,2021-07-04,38409.0,Sheet & Pillowcase Sets
48,2021-07-05,38409.0,Sheet & Pillowcase Sets
49,2021-07-06,38409.0,Sheet & Pillowcase Sets
50,2021-07-07,110270.0,Sheet & Pillowcase Sets
51,2021-07-08,110270.0,Sheet & Pillowcase Sets
52,2021-07-09,110270.0,Sheet & Pillowcase Sets
53,2021-07-10,110270.0,Sheet & Pillowcase Sets
54,2021-07-11,53704.0,Sheet & Pillowcase Sets
