,date,value,name_B094YQFYCL
0,2021-05-18,20846.0,Nicotine Patches
1,2021-05-19,20846.0,Nicotine Patches
2,2021-05-20,28977.0,Nicotine Patches
3,2021-05-21,29066.0,Nicotine Patches
4,2021-05-22,23884.0,Nicotine Patches
5,2021-05-23,23884.0,Nicotine Patches
6,2021-05-24,28325.0,Nicotine Patches
7,2021-05-25,28325.0,Nicotine Patches
8,2021-05-26,28325.0,Nicotine Patches
9,2021-05-27,31560.0,Nicotine Patches
10,2021-05-28,31560.0,Nicotine Patches
11,2021-05-29,31560.0,Nicotine Patches
12,2021-05-30,24002.0,Nicotine Patches
13,2021-05-31,24002.0,Nicotine Patches
14,2021-06-01,27037.0,Nicotine Patches
15,2021-06-02,27037.0,Nicotine Patches
16,2021-06-03,27805.0,Nicotine Patches
17,2021-06-04,26441.0,Nicotine Patches
18,2021-06-05,22067.0,Nicotine Patches
19,2021-06-06,22067.0,Nicotine Patches
20,2021-06-07,33303.0,Nicotine Patches
21,2021-06-08,33303.0,Nicotine Patches
22,2021-06-09,33303.0,Nicotine Patches
23,2021-06-10,35127.0,Nicotine Patches
24,2021-06-11,35127.0,Nicotine Patches
25,2021-06-12,35127.0,Nicotine Patches
26,2021-06-13,35127.0,Nicotine Patches
27,2021-06-14,35127.0,Nicotine Patches
28,2021-06-15,35127.0,Nicotine Patches
29,2021-06-16,26857.0,Nicotine Patches
30,2021-06-17,29239.0,Nicotine Patches
31,2021-06-18,29239.0,Nicotine Patches
32,2021-06-19,24838.0,Nicotine Patches
33,2021-06-20,24838.0,Nicotine Patches
34,2021-06-21,25612.0,Nicotine Patches
35,2021-06-22,21240.0,Nicotine Patches
36,2021-06-23,21240.0,Nicotine Patches
37,2021-06-24,21240.0,Nicotine Patches
38,2021-06-25,21240.0,Nicotine Patches
39,2021-06-26,25420.0,Nicotine Patches
40,2021-06-27,25420.0,Nicotine Patches
41,2021-06-28,25420.0,Nicotine Patches
42,2021-06-29,17758.0,Nicotine Patches
43,2021-06-30,16779.0,Nicotine Patches
44,2021-07-01,15129.0,Nicotine Patches
45,2021-07-02,15129.0,Nicotine Patches
46,2021-07-03,18952.0,Nicotine Patches
47,2021-07-04,18952.0,Nicotine Patches
48,2021-07-05,22362.0,Nicotine Patches
49,2021-07-06,20405.0,Nicotine Patches
50,2021-07-07,20405.0,Nicotine Patches
51,2021-07-08,20405.0,Nicotine Patches
52,2021-07-09,19962.0,Nicotine Patches
