,date,value,name_B09524JX8C
0,2021-06-11,675.0,Fidget Blocks
1,2021-06-12,675.0,Fidget Blocks
2,2021-06-13,540.0,Fidget Blocks
3,2021-06-14,629.0,Fidget Blocks
4,2021-06-15,651.0,Fidget Blocks
5,2021-06-16,319.0,Fidget Blocks
6,2021-06-17,723.0,Fidget Blocks
7,2021-06-18,934.0,Fidget Blocks
8,2021-06-19,780.0,Fidget Blocks
9,2021-06-20,780.0,Fidget Blocks
10,2021-06-21,780.0,Fidget Blocks
11,2021-06-22,1432.0,Fidget Blocks
12,2021-06-23,1432.0,Fidget Blocks
13,2021-06-24,2372.0,Fidget Blocks
14,2021-06-25,2372.0,Fidget Blocks
15,2021-06-26,1712.0,Fidget Blocks
16,2021-06-27,1712.0,Fidget Blocks
17,2021-06-28,1412.0,Fidget Blocks
18,2021-06-29,1077.0,Fidget Blocks
19,2021-06-30,1074.0,Fidget Blocks
20,2021-07-01,1074.0,Fidget Blocks
21,2021-07-02,1211.0,Fidget Blocks
22,2021-07-03,1283.0,Fidget Blocks
23,2021-07-04,1283.0,Fidget Blocks
24,2021-07-05,1135.0,Fidget Blocks
25,2021-07-06,1135.0,Fidget Blocks
26,2021-07-07,14072.0,Fidget Blocks
27,2021-07-08,4687.0,Fidget Blocks
28,2021-07-09,2279.0,Fidget Blocks
