,date,value,name_B0952CNG1G
0,2021-05-29,117431.0,Badge Holders
1,2021-05-30,79061.0,Badge Holders
2,2021-05-31,79061.0,Badge Holders
3,2021-06-01,59433.0,Badge Holders
4,2021-06-02,24540.0,Badge Holders
5,2021-06-03,24540.0,Badge Holders
6,2021-06-04,10316.0,Badge Holders
7,2021-06-05,6567.0,Badge Holders
8,2021-06-06,3555.0,Badge Holders
9,2021-06-07,5738.0,Badge Holders
10,2021-06-08,7591.0,Badge Holders
11,2021-06-09,7591.0,Badge Holders
12,2021-06-10,5693.0,Badge Holders
13,2021-06-11,5693.0,Badge Holders
14,2021-06-12,3239.0,Badge Holders
15,2021-06-13,3239.0,Badge Holders
16,2021-06-14,2185.0,Badge Holders
17,2021-06-15,2066.0,Badge Holders
18,2021-06-16,2308.0,Badge Holders
19,2021-06-17,2308.0,Badge Holders
20,2021-06-18,21431.0,Badge Holders
21,2021-06-19,21431.0,Badge Holders
22,2021-06-20,21431.0,Badge Holders
23,2021-06-21,16863.0,Badge Holders
24,2021-06-22,4651.0,Badge Holders
25,2021-06-23,2295.0,Badge Holders
26,2021-06-24,2354.0,Badge Holders
27,2021-06-25,2269.0,Badge Holders
28,2021-06-26,2269.0,Badge Holders
29,2021-06-27,2269.0,Badge Holders
30,2021-06-28,1223.0,Badge Holders
31,2021-06-29,1741.0,Badge Holders
32,2021-06-30,1741.0,Badge Holders
33,2021-07-01,2692.0,Badge Holders
34,2021-07-02,1890.0,Badge Holders
35,2021-07-03,1890.0,Badge Holders
36,2021-07-04,1667.0,Badge Holders
37,2021-07-05,1910.0,Badge Holders
38,2021-07-06,1910.0,Badge Holders
39,2021-07-07,2553.0,Badge Holders
40,2021-07-08,2450.0,Badge Holders
41,2021-07-09,2221.0,Badge Holders
