,date,value,name_B0953CB7CM
0,2021-06-07,20285,Hand Blenders
1,2021-06-08,17363,Hand Blenders
2,2021-06-09,13660,Hand Blenders
3,2021-06-10,10472,Hand Blenders
4,2021-06-11,10749,Hand Blenders
5,2021-06-12,8430,Hand Blenders
6,2021-06-13,9488,Hand Blenders
7,2021-06-14,12105,Hand Blenders
8,2021-06-15,13640,Hand Blenders
9,2021-06-16,13569,Hand Blenders
10,2021-06-17,11556,Hand Blenders
11,2021-06-18,11290,Hand Blenders
12,2021-06-19,11985,Hand Blenders
13,2021-06-20,10023,Hand Blenders
14,2021-06-21,9264,Hand Blenders
15,2021-06-22,6749,Hand Blenders
16,2021-06-23,9786,Hand Blenders
17,2021-06-24,12475,Hand Blenders
18,2021-06-25,18962,Hand Blenders
19,2021-06-26,18363,Hand Blenders
20,2021-06-27,21996,Hand Blenders
21,2021-06-28,21709,Hand Blenders
22,2021-06-29,19810,Hand Blenders
23,2021-06-30,23885,Hand Blenders
24,2021-07-01,22093,Hand Blenders
25,2021-07-02,21706,Hand Blenders
26,2021-07-03,19999,Hand Blenders
27,2021-07-04,22122,Hand Blenders
28,2021-07-05,24303,Hand Blenders
29,2021-07-06,22261,Hand Blenders
30,2021-07-07,31853,Hand Blenders
31,2021-07-08,15500,Hand Blenders
32,2021-07-09,20640,Hand Blenders
