,date,value,name_B095C1MQ6D
0,2021-05-27,6221.0,Fidget Blocks
1,2021-05-28,7627.0,Fidget Blocks
2,2021-05-29,7627.0,Fidget Blocks
3,2021-05-30,1108.0,Fidget Blocks
4,2021-05-31,1108.0,Fidget Blocks
5,2021-06-01,1108.0,Fidget Blocks
6,2021-06-02,7087.0,Fidget Blocks
7,2021-06-03,7087.0,Fidget Blocks
8,2021-06-04,7087.0,Fidget Blocks
9,2021-06-05,4616.0,Fidget Blocks
10,2021-06-06,4616.0,Fidget Blocks
11,2021-06-07,4616.0,Fidget Blocks
12,2021-06-08,15261.0,Fidget Blocks
13,2021-06-09,15261.0,Fidget Blocks
14,2021-06-10,21129.0,Fidget Blocks
15,2021-06-11,21129.0,Fidget Blocks
16,2021-06-12,21702.0,Fidget Blocks
17,2021-06-13,24860.0,Fidget Blocks
18,2021-06-14,36144.0,Fidget Blocks
19,2021-06-15,36144.0,Fidget Blocks
20,2021-06-16,8545.0,Fidget Blocks
21,2021-06-17,8545.0,Fidget Blocks
22,2021-06-18,299.0,Fidget Blocks
23,2021-06-19,1559.0,Fidget Blocks
24,2021-06-20,1559.0,Fidget Blocks
25,2021-06-21,7598.0,Fidget Blocks
26,2021-06-22,19581.0,Fidget Blocks
27,2021-06-23,22539.0,Fidget Blocks
28,2021-06-24,22539.0,Fidget Blocks
29,2021-06-25,22539.0,Fidget Blocks
30,2021-06-26,22539.0,Fidget Blocks
31,2021-06-27,22539.0,Fidget Blocks
32,2021-06-28,22539.0,Fidget Blocks
33,2021-06-29,44335.0,Fidget Blocks
34,2021-06-30,38996.0,Fidget Blocks
35,2021-07-01,38996.0,Fidget Blocks
36,2021-07-02,57652.0,Fidget Blocks
37,2021-07-03,57652.0,Fidget Blocks
38,2021-07-04,90101.0,Fidget Blocks
39,2021-07-05,73018.0,Fidget Blocks
40,2021-07-06,43807.0,Fidget Blocks
41,2021-07-07,78941.0,Fidget Blocks
42,2021-07-08,52503.0,Fidget Blocks
43,2021-07-09,18335.0,Fidget Blocks
