,date,value,name_B095H6RHQG
0,2021-05-26,3604.0,Steering Accessories
1,2021-05-27,3604.0,Steering Accessories
2,2021-05-28,3288.0,Steering Accessories
3,2021-05-29,8628.0,Steering Accessories
4,2021-05-30,8628.0,Steering Accessories
5,2021-05-31,3518.0,Steering Accessories
6,2021-06-01,4002.0,Steering Accessories
7,2021-06-02,3555.0,Steering Accessories
8,2021-06-03,2572.0,Steering Accessories
9,2021-06-04,3212.0,Steering Accessories
10,2021-06-05,3212.0,Steering Accessories
11,2021-06-06,3267.0,Steering Accessories
12,2021-06-07,3763.0,Steering Accessories
13,2021-06-08,3763.0,Steering Accessories
14,2021-06-09,3763.0,Steering Accessories
15,2021-06-10,3026.0,Steering Accessories
16,2021-06-11,3085.0,Steering Accessories
17,2021-06-12,3759.0,Steering Accessories
18,2021-06-13,3567.0,Steering Accessories
19,2021-06-14,2994.0,Steering Accessories
20,2021-06-15,2994.0,Steering Accessories
21,2021-06-16,2994.0,Steering Accessories
22,2021-06-17,2675.0,Steering Accessories
23,2021-06-18,2699.0,Steering Accessories
24,2021-06-19,2236.0,Steering Accessories
25,2021-06-20,2236.0,Steering Accessories
26,2021-06-21,2236.0,Steering Accessories
27,2021-06-22,4165.0,Steering Accessories
28,2021-06-23,4165.0,Steering Accessories
29,2021-06-24,3433.0,Steering Accessories
30,2021-06-25,3197.0,Steering Accessories
31,2021-06-26,3488.0,Steering Accessories
32,2021-06-27,3051.0,Steering Accessories
33,2021-06-28,3051.0,Steering Accessories
34,2021-06-29,3399.0,Steering Accessories
35,2021-06-30,3399.0,Steering Accessories
36,2021-07-01,3151.0,Steering Accessories
37,2021-07-02,2963.0,Steering Accessories
38,2021-07-03,2746.0,Steering Accessories
39,2021-07-04,2746.0,Steering Accessories
40,2021-07-05,2940.0,Steering Accessories
41,2021-07-06,2506.0,Steering Accessories
42,2021-07-07,3200.0,Steering Accessories
43,2021-07-08,2834.0,Steering Accessories
44,2021-07-09,2159.0,Steering Accessories
45,2021-07-10,2111.0,Steering Accessories
