,date,value,name_B095HFRGXH
0,2021-05-23,6205.0,Caddies
1,2021-05-24,5919.0,Caddies
2,2021-05-25,5692.0,Caddies
3,2021-05-26,5692.0,Caddies
4,2021-05-27,5978.0,Caddies
5,2021-05-28,6174.0,Caddies
6,2021-05-29,6384.0,Caddies
7,2021-05-30,6384.0,Caddies
8,2021-05-31,5735.0,Caddies
9,2021-06-01,5735.0,Caddies
10,2021-06-02,4841.0,Caddies
11,2021-06-03,4841.0,Caddies
12,2021-06-04,5184.0,Caddies
13,2021-06-05,5184.0,Caddies
14,2021-06-06,5184.0,Caddies
15,2021-06-07,4230.0,Caddies
16,2021-06-08,4527.0,Caddies
17,2021-06-09,5235.0,Caddies
18,2021-06-10,5235.0,Caddies
19,2021-06-11,3828.0,Caddies
20,2021-06-12,3828.0,Caddies
21,2021-06-13,4310.0,Caddies
22,2021-06-14,4310.0,Caddies
23,2021-06-15,4310.0,Caddies
24,2021-06-16,4114.0,Caddies
25,2021-06-17,4114.0,Caddies
26,2021-06-18,4092.0,Caddies
27,2021-06-19,4092.0,Caddies
28,2021-06-20,2598.0,Caddies
29,2021-06-21,3282.0,Caddies
30,2021-06-22,3282.0,Caddies
31,2021-06-23,2143.0,Caddies
32,2021-06-24,2143.0,Caddies
33,2021-06-25,2599.0,Caddies
34,2021-06-26,3928.0,Caddies
35,2021-06-27,3364.0,Caddies
36,2021-06-28,3156.0,Caddies
37,2021-06-29,3647.0,Caddies
38,2021-06-30,3647.0,Caddies
39,2021-07-01,4368.0,Caddies
40,2021-07-02,4368.0,Caddies
41,2021-07-03,5251.0,Caddies
42,2021-07-04,5251.0,Caddies
43,2021-07-05,5166.0,Caddies
44,2021-07-06,7272.0,Caddies
45,2021-07-07,5444.0,Caddies
46,2021-07-08,5444.0,Caddies
47,2021-07-09,5481.0,Caddies
48,2021-07-10,4483.0,Caddies
49,2021-07-11,4704.0,Caddies
