,date,value,name_B0964ZY466
0,2021-06-01,47827.0,Misting Systems
1,2021-06-02,69908.0,Misting Systems
2,2021-06-03,69908.0,Misting Systems
3,2021-06-04,103437.0,Misting Systems
4,2021-06-05,103437.0,Misting Systems
5,2021-06-06,103437.0,Misting Systems
6,2021-06-07,2357.0,Misting Systems
7,2021-06-08,853.0,Misting Systems
8,2021-06-09,1805.0,Misting Systems
9,2021-06-10,3049.0,Misting Systems
10,2021-06-11,4731.0,Misting Systems
11,2021-06-12,6994.0,Misting Systems
12,2021-06-13,6994.0,Misting Systems
13,2021-06-14,6994.0,Misting Systems
14,2021-06-15,5346.0,Misting Systems
15,2021-06-16,5294.0,Misting Systems
16,2021-06-17,3396.0,Misting Systems
17,2021-06-18,3396.0,Misting Systems
18,2021-06-19,3668.0,Misting Systems
19,2021-06-20,3668.0,Misting Systems
20,2021-06-21,4364.0,Misting Systems
21,2021-06-22,2194.0,Misting Systems
22,2021-06-23,2194.0,Misting Systems
23,2021-06-24,1965.0,Misting Systems
24,2021-06-25,1636.0,Misting Systems
25,2021-06-26,1324.0,Misting Systems
26,2021-06-27,1324.0,Misting Systems
27,2021-06-28,806.0,Misting Systems
28,2021-06-29,675.0,Misting Systems
29,2021-06-30,1086.0,Misting Systems
30,2021-07-01,1235.0,Misting Systems
31,2021-07-02,1917.0,Misting Systems
32,2021-07-03,1917.0,Misting Systems
33,2021-07-04,2534.0,Misting Systems
34,2021-07-05,2053.0,Misting Systems
35,2021-07-06,2053.0,Misting Systems
36,2021-07-07,3447.0,Misting Systems
37,2021-07-08,3447.0,Misting Systems
38,2021-07-09,5887.0,Misting Systems
39,2021-07-10,5920.0,Misting Systems
