,date,value,name_B0968RNZZS
0,2021-06-07,15822.0,Lawn Water Slides
1,2021-06-08,15822.0,Lawn Water Slides
2,2021-06-09,21552.0,Lawn Water Slides
3,2021-06-10,24660.0,Lawn Water Slides
4,2021-06-11,24660.0,Lawn Water Slides
5,2021-06-12,70197.0,Lawn Water Slides
6,2021-06-13,70197.0,Lawn Water Slides
7,2021-06-14,70197.0,Lawn Water Slides
8,2021-06-15,70197.0,Lawn Water Slides
9,2021-06-16,94020.0,Lawn Water Slides
10,2021-06-17,94020.0,Lawn Water Slides
11,2021-06-18,28193.0,Lawn Water Slides
12,2021-06-19,18523.0,Lawn Water Slides
13,2021-06-20,18523.0,Lawn Water Slides
14,2021-06-21,7143.0,Lawn Water Slides
15,2021-06-22,12362.0,Lawn Water Slides
16,2021-06-23,12362.0,Lawn Water Slides
17,2021-06-24,13670.0,Lawn Water Slides
18,2021-06-25,10329.0,Lawn Water Slides
19,2021-06-26,10329.0,Lawn Water Slides
20,2021-06-27,4470.0,Lawn Water Slides
21,2021-06-28,4470.0,Lawn Water Slides
22,2021-06-29,6263.0,Lawn Water Slides
23,2021-06-30,4367.0,Lawn Water Slides
24,2021-07-01,4491.0,Lawn Water Slides
25,2021-07-02,3515.0,Lawn Water Slides
26,2021-07-03,3515.0,Lawn Water Slides
27,2021-07-04,4654.0,Lawn Water Slides
28,2021-07-05,2649.0,Lawn Water Slides
29,2021-07-06,3866.0,Lawn Water Slides
30,2021-07-07,3866.0,Lawn Water Slides
31,2021-07-08,6319.0,Lawn Water Slides
32,2021-07-09,73565.0,Lawn Water Slides
33,2021-07-10,65367.0,Lawn Water Slides
