,date,value,name_B0978L7P7R
0,2021-06-19,598.0,Planners
1,2021-06-20,598.0,Planners
2,2021-06-21,518.0,Planners
3,2021-06-22,418.0,Planners
4,2021-06-23,355.0,Planners
5,2021-06-24,316.0,Planners
6,2021-06-25,328.0,Planners
7,2021-06-26,328.0,Planners
8,2021-06-27,328.0,Planners
9,2021-06-28,328.0,Planners
10,2021-06-29,333.0,Planners
11,2021-06-30,328.0,Planners
12,2021-07-01,308.0,Planners
13,2021-07-02,339.0,Planners
14,2021-07-03,339.0,Planners
15,2021-07-04,376.0,Planners
16,2021-07-05,401.0,Planners
17,2021-07-06,414.0,Planners
18,2021-07-07,364.0,Planners
19,2021-07-08,404.0,Planners
20,2021-07-09,401.0,Planners
21,2021-07-10,466.0,Planners
22,2021-07-11,555.0,Planners
